search_order,candidate_video_frame_index,candidate_video_time_s,candidate_video_time,distance_from_anchor_s,aggregate_score,center_score,min_window_score,pad_geometry_mean,masked_visual_mean,full_visual_mean,center_pad_geometry_score,center_pad_center_error_px,center_pad_center_error_ratio,center_pad_radius_error_ratio,center_pad_ring_iou,center_pad_thermal_circle_rank,video_circle_source,video_circle_confidence,video_circle_partial,video_circle_smoothed,thermal_circle_confirmed,manual_circle_source,selected_rank,geometry_hard_pass,aggregation,strategy_rank,evaluated_strategy_count,candidate_strategy_count,circle_filter_applied,min_circle_alignment,transform_type,spatial_score,crop_x,crop_y,crop_w,crop_h,thermal_edge_density,video_edge_density,base_similarity,circle_alignment,pad_center_error_px,pad_center_error_ratio,pad_radius_error_ratio,pad_ring_iou,pad_geometry_score,pad_geometry_hard_pass,pad_thermal_circle_rank,keypoint_matches,keypoint_inliers,source_tiff,score_tiff_m2,score_tiff_m1,score_tiff_p0,score_tiff_p1,score_tiff_p2,rank
55,14829,494.3,00:08:14.300,0.30000000000001137,0.2688403793600696,0.8959927375506958,0.11015968409416141,0.48204499238195025,0.6560606509447098,0.6042146712541581,0.9998026265382156,0.08138291541447545,0.0013126276679754105,0.00020746576245331898,0.999690749215863,6,arc_fit,0.6164030879561833,False,False,True,manual_coordinates,6,True,mean,1,15,182,True,0.5,crop_resize,0.9998026265382156,907,651,1751,1401,0.5830965909090909,0.5397389069264069,0.0,0.9998026265382156,0.08138291541447545,0.0013126276679754105,0.00020746576245331898,0.999690749215863,0.9998026265382156,True,1,0,0,raw/thermal/20260226_023322.tiff,0.11015968409416141,0.11219004539932612,0.8959927375506958,0.11491893237843105,0.11094049737773369,21
58,14832,494.4,00:08:14.400,0.39999999999997726,0.2687875643924823,0.8930512439539022,0.11066031944103447,0.4814060584743528,0.6591519236564636,0.6161759227514267,0.9975561448136945,0.22293060558267241,0.003595654928752781,0.0002979608228278653,0.9976980465795806,6,arc_fit,0.6153583446316724,False,False,True,manual_coordinates,6,True,mean,3,15,182,True,0.5,crop_resize,0.9975561448136945,827,622,1789,1403,0.5830965909090909,0.5421401515151515,0.0,0.9975561448136945,0.22293060558267241,0.003595654928752781,0.0002979608228278653,0.9976980465795806,0.9975561448136945,True,1,0,0,raw/thermal/20260226_023322.tiff,0.11066031944103447,0.11305919495124694,0.8930512439539022,0.11501694804483237,0.11215011557139548,22
38,14812,493.73333333333335,00:08:13.733,-0.2666666666666515,0.26877132741053783,0.8935403267526363,0.1098349080432984,0.4817572835142359,0.6624065697193146,0.6021723687648773,0.9988356912722548,0.07563411747319386,0.001219905120535385,0.0002024441293871306,0.9997326263761528,6,arc_fit,0.6082746525435827,False,False,True,manual_coordinates,6,True,mean,2,15,182,True,0.5,crop_resize,0.9988356912722548,895,686,1611,1315,0.5830965909090909,0.5476190476190477,0.0,0.9988356912722548,0.07563411747319386,0.001219905120535385,0.0002024441293871306,0.9997326263761528,0.9988356912722548,True,1,0,0,raw/thermal/20260226_023322.tiff,0.11659737158214986,0.11278398662518338,0.8935403267526363,0.11110004404942146,0.1098349080432984,23
57,14831,494.3666666666667,00:08:14.367,0.36666666666667425,0.26857509146312414,0.8928884032874064,0.11129080822311425,0.48263704898518817,0.652556586265564,0.6171409547328949,0.9985155881228746,0.13091473115752147,0.0021115279218955076,2.6738306375601576e-05,0.9992076332995812,6,arc_fit,0.6146423023322631,False,False,True,manual_coordinates,6,True,mean,2,15,182,True,0.5,crop_resize,0.9985155881228746,846,636,1784,1399,0.5830965909090909,0.5610795454545454,0.0,0.9985155881228746,0.13091473115752147,0.0021115279218955076,2.6738306375601576e-05,0.9992076332995812,0.9985155881228746,True,1,0,0,raw/thermal/20260226_023322.tiff,0.11129080822311425,0.11174065449819223,0.8928884032874064,0.1148633395851209,0.11209225172178704,24
33,14807,493.56666666666666,00:08:13.567,-0.4333333333333371,0.26827026036001733,0.8916632125683503,0.10934561663964328,0.4862756470384152,0.650611412525177,0.593510901927948,0.9989057244257862,0.19230656261194565,0.003101718751805575,3.916677935452086e-05,0.99829101603263,6,arc_fit,0.6065324373742748,False,False,True,manual_coordinates,6,True,mean,1,15,182,True,0.5,crop_resize,0.9989057244257862,1000,718,1593,1275,0.5830965909090909,0.5344291125541125,0.0,0.9989057244257862,0.19230656261194565,0.003101718751805575,3.916677935452086e-05,0.99829101603263,0.9989057244257862,True,1,0,0,raw/thermal/20260226_023322.tiff,0.1144860870593312,0.11155440954955063,0.8916632125683503,0.10934561663964328,0.11430197598321101,25
65,14839,494.6333333333333,00:08:14.633,0.6333333333333258,0.26823177864712144,0.8928049956068441,0.10849538580264306,0.4689771452227679,0.6804734200239182,0.6229061782360077,0.9995089684243453,0.12877945895955778,0.002077088047734803,0.000106872937979597,0.9992325157497689,6,arc_fit,0.6284383386073242,False,False,True,manual_coordinates,6,True,mean,1,16,179,True,0.5,crop_resize,0.9995089684243453,627,593,1850,1480,0.5830965909090909,0.5379464285714286,0.0,0.9995089684243453,0.12877945895955778,0.002077088047734803,0.000106872937979597,0.9992325157497689,0.9995089684243453,True,1,0,0,raw/thermal/20260226_023322.tiff,0.10849538580264306,0.11170371945224887,0.8928049956068441,0.1130869271069239,0.11506786526694741,26
35,14809,493.6333333333333,00:08:13.633,-0.36666666666667425,0.26819359764621215,0.8924099722239954,0.10885921091978532,0.4819054781360615,0.6571546405553818,0.5980118632316589,0.9987498065192856,0.20557499089871112,0.003315725659656631,6.123753609604284e-06,0.998047410778802,6,arc_fit,0.6039793018545341,False,False,True,manual_coordinates,6,True,mean,2,15,182,True,0.5,crop_resize,0.9987498065192856,948,707,1608,1287,0.5830965909090909,0.5446766774891775,0.0,0.9987498065192856,0.20557499089871112,0.003315725659656631,6.123753609604284e-06,0.998047410778802,0.9987498065192856,True,1,0,0,raw/thermal/20260226_023322.tiff,0.11643924134086951,0.11331989141667537,0.8924099722239954,0.10993967232973513,0.10885921091978532,27
43,14817,493.9,00:08:13.900,-0.10000000000002274,0.2681640102248251,0.8930181359645828,0.10991120556850346,0.4825129496570085,0.6558611333370209,0.5924645870923996,0.9997922408117857,0.0836736215662619,0.001349574541391321,4.4842568834220004e-05,0.9996761170066,6,arc_fit,0.6125094121478469,False,False,True,manual_coordinates,6,True,mean,1,15,182,True,0.5,crop_resize,0.9997922408117857,887,668,1663,1331,0.5830965909090909,0.5514407467532467,0.0,0.9997922408117857,0.0836736215662619,0.001349574541391321,4.4842568834220004e-05,0.9996761170066,0.9997922408117857,True,1,0,0,raw/thermal/20260226_023322.tiff,0.11270835818485224,0.11469520546232925,0.8930181359645828,0.10991120556850346,0.11048714594385768,28
67,14841,494.7,00:08:14.700,0.6999999999999886,0.2681143464769217,0.8910651010236029,0.11128190099306905,0.46926469777251506,0.6834506690502167,0.6193360447883606,0.9988486211973711,0.07519973633480678,0.0012128989731420448,0.0002747190577745489,0.9997332614287358,6,arc_fit,0.6239618249255694,False,False,True,manual_coordinates,6,True,mean,2,13,170,True,0.5,crop_resize,0.9988486211973711,574,615,1881,1475,0.5830965909090909,0.5518804112554112,0.0,0.9988486211973711,0.07519973633480678,0.0012128989731420448,0.0002747190577745489,0.9997332614287358,0.9988486211973711,True,1,0,0,raw/thermal/20260226_023322.tiff,0.11190911181815671,0.11128190099306905,0.8910651010236029,0.11399699517746899,0.11231862337231076,29
68,14842,494.73333333333335,00:08:14.733,0.7333333333333485,0.268113265065931,0.8940484868597283,0.1085728500477186,0.46748298083765877,0.6798826098442078,0.6218937814235688,0.9993614087672255,0.14683709690907443,0.002368340272727007,0.00015413912785009547,0.999001686832035,6,arc_fit,0.6258590681183275,False,False,True,manual_coordinates,6,True,mean,1,13,167,True,0.5,crop_resize,0.9993614087672255,568,614,1875,1500,0.5830965909090909,0.5608089826839827,0.0,0.9993614087672255,0.14683709690907443,0.002368340272727007,0.00015413912785009547,0.999001686832035,0.9993614087672255,True,1,0,0,raw/thermal/20260226_023322.tiff,0.1085728500477186,0.10919942707351382,0.8940484868597283,0.11587675113257513,0.11286881021611911,30
39,14813,493.76666666666665,00:08:13.767,-0.2333333333333485,0.2680480313355241,0.8895990707847649,0.10998407399816965,0.48245708593866,0.6591502487659454,0.6004801481962204,0.9985773518869775,0.12109122267919177,0.0019530842367611577,0.000186972577164938,0.9993196637478613,6,arc_fit,0.6034395793781593,False,False,True,manual_coordinates,6,True,mean,2,15,182,True,0.5,crop_resize,0.9985773518869775,886,680,1616,1319,0.5830965909090909,0.5476190476190477,0.0,0.9985773518869775,0.12109122267919177,0.0019530842367611577,0.000186972577164938,0.9993196637478613,0.9985773518869775,True,1,0,0,raw/thermal/20260226_023322.tiff,0.11723299190173328,0.11256263795843288,0.8895990707847649,0.1108613820345197,0.10998407399816965,31
37,14811,493.7,00:08:13.700,-0.30000000000001137,0.2680259967550966,0.8899203121345021,0.10788985035116631,0.4800327037409122,0.6639506548643113,0.6014287859201431,0.9986141736202939,0.11892546664834311,0.0019181526878765019,0.00016745453585451008,0.9993441683502171,6,arc_fit,0.6050827234247118,False,False,True,manual_coordinates,6,True,mean,2,15,182,True,0.5,crop_resize,0.9986141736202939,909,693,1609,1313,0.5830965909090909,0.5437635281385281,0.0,0.9986141736202939,0.11892546664834311,0.0019181526878765019,0.00016745453585451008,0.9993441683502171,0.9986141736202939,True,1,0,0,raw/thermal/20260226_023322.tiff,0.11865276384219971,0.11360182740864093,0.8899203121345021,0.1100652300389739,0.10788985035116631,32
41,14815,493.8333333333333,00:08:13.833,-0.16666666666668561,0.26795840928949166,0.8927103073624866,0.1079968154839393,0.48182330318934524,0.6527653157711029,0.5983097672462463,0.9994055584803753,0.141441796336514,0.0022813192957502255,0.00028996820993181096,0.9990693644941466,6,arc_fit,0.6088664632221776,False,False,True,manual_coordinates,6,True,mean,1,15,182,True,0.5,crop_resize,0.9994055584803753,867,673,1650,1320,0.5830965909090909,0.536525974025974,0.0,0.9994055584803753,0.141441796336514,0.0022813192957502255,0.00028996820993181096,0.9990693644941466,0.9994055584803753,True,1,0,0,raw/thermal/20260226_023322.tiff,0.1158643387005017,0.11359431226538193,0.8927103073624866,0.1079968154839393,0.10962627263514889,33
40,14814,493.8,00:08:13.800,-0.19999999999998863,0.2679535256669249,0.8895213243707064,0.10867460742821415,0.4816635675116802,0.6599278301000595,0.6003803163766861,0.9982756842167015,0.1618660898520416,0.0026107433847103482,2.8145050397516834e-06,0.9987890033396198,6,arc_fit,0.6104125543105525,False,False,True,manual_coordinates,6,True,mean,3,15,182,True,0.5,crop_resize,0.9982756842167015,860,686,1656,1299,0.5830965909090909,0.5342938311688312,0.0,0.9982756842167015,0.1618660898520416,0.0026107433847103482,2.8145050397516834e-06,0.9987890033396198,0.9982756842167015,True,1,0,0,raw/thermal/20260226_023322.tiff,0.11705259573935362,0.11496338576769012,0.8895213243707064,0.1095557150286601,0.10867460742821415,34
34,14808,493.6,00:08:13.600,-0.39999999999997726,0.267864557680916,0.8933448007733524,0.10980484482760267,0.48365037333945543,0.6448930948972702,0.5985533386468888,0.9998102907998287,0.0798564117278696,0.0012880066407720903,0.00017388306127219175,0.9997030180139886,6,arc_fit,0.6016367839591111,False,False,True,manual_coordinates,6,True,mean,1,15,182,True,0.5,crop_resize,0.9998102907998287,976,712,1599,1279,0.5830965909090909,0.5492762445887446,0.0,0.9998102907998287,0.0798564117278696,0.0012880066407720903,0.00017388306127219175,0.9997030180139886,0.9998102907998287,True,1,0,0,raw/thermal/20260226_023322.tiff,0.11393038650304746,0.11231357108899534,0.8933448007733524,0.10992918521158199,0.10980484482760267,35
